x,y,error
-77.9988027745,34.0529746175,13.3355261044
-78.0002946047,34.0498483625,13.0722212547
-77.998447417,34.0474910228,13.8354862563
-77.9986000434,34.0445943098,10.4919221465
-77.9988037577,34.0415596251,5.7393145079
-77.9995432187,34.038209306,4.8567823604
-77.9997838531,34.0349189465,4.2218999195
-77.9994608362,34.0315031637,7.7786302525
-78.0014042299,34.0286655574,7.707700917
-78.0015188245,34.0248586186,12.1679060839
-78.0017130342,34.0216452678,12.4156842648
-78.001576924,34.018776041,12.3083298244
-78.0023596368,34.0161739982,12.3483955184
-78.0029087985,34.0132550726,12.3461234049
-78.0057816576,34.0127754948,11.89285803
-78.0090340914,34.0116146102,11.0577476174
-78.009239185,34.0087257625,10.4140949358
-78.0105141743,34.006169615,10.6491398719
-78.0112252171,34.0028922415,11.9656589722
-78.0144538061,34.0027969957,11.8264014912
-78.0155568809,33.9998854054,11.1098921584
-78.0165339458,33.9969313822,10.8909411506
-78.0172604501,33.9940180938,10.8414283618
-78.020067649,33.9933996481,11.4033603445
-78.0229384872,33.9925146857,11.425670913
-78.023408163,33.9904439193,11.0817790232
-78.0250169423,33.9887857134,11.0730553986
-78.0262382896,33.9866265358,10.6919089162
-78.0287130813,33.9864692376,10.9891461447
-78.0308356142,33.985967025,11.3095203923
-78.0318118574,33.9840184187,11.6887530975
-78.034359118,33.9840783167,12.5067944115
-78.0364593157,33.9820258571,12.5188423898
-78.0398705067,33.9822108946,12.6580296988
-78.0434749861,33.9815190612,12.7672342683
-78.0446032451,33.9771803018,12.8888280603
-78.048347143,33.9764184248,13.0910009568
-78.0521461259,33.9755481937,12.9996676994
-78.0560207759,33.9745509299,13.1171071516
-78.059937,33.973363,14.2669131571
-78.063886,33.972189,15.032723057
-78.067787,33.970842,14.6526983384
-78.070937,33.968659,14.4284388812
-78.074957,33.970074,15.1055049343
-78.079021,33.969436,15.0114008601
-78.082832,33.967941,14.1980380058
-78.085533,33.96706,13.6137279945
-78.088249,33.96624,14.0791601086
-78.091827,33.966282,14.485987296
-78.096027,33.965873,14.6129959761
-78.100435,33.965223,14.6070165651
-78.105155,33.96444,14.8118603772
-78.109709,33.963504,15.4513624746
-78.114257,33.962599,15.6092345674
-78.1187,33.961392,15.6338847671
-78.123008,33.960232,16.1441618278
-78.127337,33.959079,16.6463383661
-78.130146,33.9628,16.1760936904
-78.132764,33.966983,15.5126812279
-78.116653,33.82238,-14.4544185348
-78.110359,33.823021,-14.636990561
-78.10482,33.823669,-14.5022160223
-78.100449,33.825821,-14.2069426096
-78.097282,33.823933,-13.8719638495
-78.095093,33.820759,-13.687061563
-78.091766,33.817196,-13.9100375831
-78.087563,33.813438,-13.9406324873
